epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.36296,1.50396,4.31024,1.3851,0.00326,0.97826,0.13279,0.08875,0.9512,3.63318,1.02099,0.00022,0.00022,0.00022
2,5.35084,1.19469,2.62141,1.1464,0.00326,0.97826,0.14559,0.08906,0.83199,3.47733,0.93218,0.000450892,0.000450892,0.000450892
3,7.24068,1.09194,1.98719,1.04597,0.00326,0.97826,0.11711,0.06699,0.9481,3.68587,1.0034,0.00067228,0.00067228,0.00067228
4,9.20753,1.1214,2.04606,1.12664,0.00326,0.97826,0.06551,0.03958,1.0114,3.54904,1.0374,0.000884164,0.000884164,0.000884164
5,11.3941,1.03746,1.82433,1.09282,0.00326,0.97826,0.01466,0.00771,1.00245,3.6211,1.10723,0.00108654,0.00108654,0.00108654
6,13.6949,1.07367,1.8023,1.09117,0.87434,0.13043,0.36541,0.23928,1.01889,3.19802,1.1525,0.00127942,0.00127942,0.00127942
7,15.52,1.07367,1.63077,1.0738,0.7059,0.34783,0.38998,0.24494,1.11725,3.11389,1.24035,0.00146279,0.00146279,0.00146279
8,17.3042,1.03265,1.41306,1.01934,0.22693,0.13043,0.1503,0.08505,1.21639,3.16596,1.32627,0.00163666,0.00163666,0.00163666
9,18.7398,1.12053,1.48508,1.07274,0.25121,0.3913,0.20584,0.14352,1.09296,2.56319,1.22406,0.0016832,0.0016832,0.0016832
10,20.0899,1.07002,1.46459,1.05359,0.28847,0.52174,0.33563,0.23315,1.0544,2.44916,1.20509,0.0016436,0.0016436,0.0016436
11,21.964,1.0431,1.37329,1.05283,0.927,0.76087,0.88497,0.61785,1.07969,1.56298,1.25824,0.001604,0.001604,0.001604
12,23.7836,1.03393,1.37699,1.05581,0.80114,0.82609,0.80434,0.58349,1.03538,1.63934,1.17059,0.0015644,0.0015644,0.0015644
13,25.5789,0.93491,1.18918,1.03568,0.90048,0.82609,0.8892,0.66151,0.97199,1.19014,1.10358,0.0015248,0.0015248,0.0015248
14,27.395,0.98396,1.23212,1.06148,0.88984,0.93478,0.94285,0.6692,0.93566,1.00253,1.13133,0.0014852,0.0014852,0.0014852
15,29.1939,0.90589,1.1037,0.99976,0.90938,0.87268,0.93003,0.65252,1.01812,1.01885,1.16049,0.0014456,0.0014456,0.0014456
16,30.9926,0.9186,1.07289,1.00095,0.85442,0.8913,0.90458,0.6514,1.02249,1.07186,1.16784,0.001406,0.001406,0.001406
17,32.764,0.96887,1.09692,1.03661,0.95484,0.91946,0.92797,0.68536,0.95439,0.8968,1.12673,0.0013664,0.0013664,0.0013664
18,34.6489,0.91893,1.06942,1.02498,0.85264,0.91304,0.8794,0.63148,0.94001,0.8926,1.10845,0.0013268,0.0013268,0.0013268
19,36.6801,0.92539,1.00896,1.03228,0.94123,0.91304,0.95816,0.71531,0.95686,0.80916,1.08416,0.0012872,0.0012872,0.0012872
20,38.4399,0.88787,1.00656,1.01019,0.91806,0.84783,0.90956,0.66944,0.91873,0.89933,1.09622,0.0012476,0.0012476,0.0012476
21,40.2399,0.91075,0.90298,1.01169,0.89259,0.90342,0.94049,0.69192,0.90412,0.78042,1.07632,0.001208,0.001208,0.001208
22,41.9542,0.832,0.87362,0.99991,0.8915,0.95652,0.94933,0.71736,0.88811,0.71354,1.06353,0.0011684,0.0011684,0.0011684
23,43.7699,0.8119,1.0408,0.97966,0.90602,0.93478,0.90874,0.70193,0.83888,0.75962,1.06976,0.0011288,0.0011288,0.0011288
24,45.54,0.89491,0.85177,1.02533,0.89567,0.97826,0.93908,0.73587,0.87871,0.72651,1.0561,0.0010892,0.0010892,0.0010892
25,47.3207,0.78269,0.73252,0.95936,0.93402,0.92329,0.94883,0.69953,0.93156,0.70716,1.12582,0.0010496,0.0010496,0.0010496
26,49.1532,0.84008,0.88405,1.03958,0.91467,0.93478,0.94241,0.69973,0.89805,0.76209,1.11802,0.00101,0.00101,0.00101
27,51.2239,0.78919,0.76602,0.98323,0.92829,0.93478,0.9372,0.70159,0.86941,0.66163,1.09975,0.0009704,0.0009704,0.0009704
